,train_acc,train_loss,val_acc,val_loss
0,0.848381601362862,0.34923404,0.8571428571428571,0.32435572
1,0.8436967632027257,0.32272428,0.8639455782312925,0.28438115
2,0.8671209540034072,0.29737145,0.8877551020408163,0.2695574
3,0.8683986371379898,0.2820406,0.8707482993197279,0.26498133
4,0.8781942078364565,0.2791842,0.8877551020408163,0.26590323
5,0.8824531516183987,0.2892662,0.8979591836734694,0.26304963
6,0.8837308347529813,0.2843786,0.8979591836734694,0.26652512
7,0.856473594548552,0.3485557,0.8537414965986394,0.3551434
8,0.881175468483816,0.26892453,0.9081632653061225,0.24983005
9,0.8841567291311755,0.25993386,0.9081632653061225,0.23940095
10,0.8526405451448041,0.31911197,0.8979591836734694,0.282211
11,0.8850085178875639,0.2598564,0.9047619047619048,0.24596812
12,0.9011925042589438,0.23863451,0.9183673469387755,0.25569975
13,0.8547700170357752,0.31297243,0.9013605442176871,0.27339977
14,0.9054514480408858,0.23306775,0.9217687074829932,0.2423585
15,0.9075809199318569,0.23816365,0.9217687074829932,0.22623532
16,0.9131175468483816,0.22154847,0.9149659863945578,0.2347929
17,0.9190800681431005,0.22115307,0.9285714285714286,0.24544737
18,0.9011925042589438,0.23969997,0.8979591836734694,0.26045755
19,0.91396933560477,0.22677328,0.9285714285714286,0.2286939
20,0.9165247018739353,0.21631262,0.9217687074829932,0.25625378
21,0.9045996592844975,0.24007,0.9251700680272109,0.24458691
22,0.9092844974446337,0.24841215,0.9149659863945578,0.2535229
23,0.903747870528109,0.22806443,0.9183673469387755,0.24628189
